Gene	RNA Tissue Category	RNA TS TPM	BaseMean	log2FoldChange	lfcSE	stat	P_value	P_value_adjusted
LOXL4	Mixed		98.67105862	1.697050299	0.340787192	4.979794843	6.37E-07	0.007209193
CCL20	Tissue enhanced	gallbladder: 269.7;tonsil: 155.2	80.0260802	2.283272527	0.468381477	4.874813884	1.09E-06	0.008223513
KRT23	Tissue enhanced	placenta: 68.6;skin: 70.9	70.35446863	2.799165117	0.605604143	4.622103645	3.80E-06	0.017884478
CHIT1	Group enriched	"bone marrow: 31.3;breast: 10.9;cervix, uterine: 13.5;lung: 53.2;lymph node: 21.0"	11.05252245	2.858811332	0.630183262	4.536476137	5.72E-06	0.021595646
CCL2	Expressed in all		236.1565215	1.72796674	0.390540617	4.42455065	9.66E-06	0.031273749
THBS2	Tissue enhanced	gallbladder: 113.4	436.5280809	1.052409721	0.248224916	4.239742479	2.24E-05	0.063362275
NR4A2	Tissue enhanced	adrenal gland: 174.3	147.3291003	1.83515801	0.440893604	4.162360248	3.15E-05	0.071974289
TREM2	Tissue enhanced	cerebral cortex: 37.0;lung: 40.5	21.16960641	1.59239078	0.388974051	4.093822647	4.24E-05	0.087378839
MMP9	Tissue enhanced	bone marrow: 252.6;lymph node: 117.7	52.39950416	1.99769689	0.491494849	4.064532707	4.81E-05	0.088021718
SOCS3	Tissue enhanced	adipose tissue: 321.5	293.7417704	1.863436395	0.461889628	4.034375923	5.47E-05	0.088021718
ADAMTS4	Tissue enhanced	adipose tissue: 62.8	87.93380782	1.613387237	0.400109538	4.032363849	5.52E-05	0.088021718
GLRA2	Group enriched	cerebral cortex: 6.1;colon: 1.4;rectum: 4.3	2.80874418	4.280188362	1.068137717	4.007150289	6.15E-05	0.088021718
LOXL1	Mixed		33.48674556	1.403663433	0.35052965	4.004407138	6.22E-05	0.088021718
WNT4	Tissue enhanced	skin: 49.2	12.41086888	2.727154686	0.690137238	3.951612138	7.76E-05	0.098165509
THY1	Tissue enhanced	cerebral cortex: 421.8;smooth muscle: 434.2	135.5436643	1.405306378	0.355968947	3.947834182	7.89E-05	0.098165509
CTSK	Expressed in all		125.2209351	1.048517481	0.26629097	3.937487929	8.23E-05	0.098165509
CXCL3	Tissue enhanced	"adipose tissue: 26.9;cervix, uterine: 33.6"	13.88991908	1.883408225	0.483128798	3.898356366	9.68E-05	0.10968984
ADAMDEC1	Tissue enhanced	colon: 210.9;rectum: 339.7;small intestine: 476.3	15.41973891	2.43450846	0.635603786	3.83022964	0.000128024	0.127627045
OLR1	Group enriched	appendix: 41.3;cerebral cortex: 32.7;lung: 146.3;placenta: 160.9	17.39017157	1.534450821	0.402315735	3.814046252	0.00013671	0.127627045
PSRC1	Tissue enhanced	cerebral cortex: 36.6	19.32705791	-1.363271959	0.357524366	-3.813088253	0.000137241	0.127627045
ICOS	Tissue enhanced	bone marrow: 10.9;lymph node: 16.9;tonsil: 14.8	8.420267452	1.638636244	0.430218221	3.808849009	0.000139615	0.127627045
MMP7	Tissue enhanced	gallbladder: 820.8	154.8064642	1.642311839	0.431431203	3.806659848	0.000140856	0.127627045
MOXD1	Tissue enhanced	endometrium: 106.1;smooth muscle: 114.5	108.8019416	1.382283502	0.365047064	3.786589833	0.000152729	0.13140398
DUSP8	Tissue enhanced	cerebral cortex: 5.1	46.17254143	1.599815112	0.423195641	3.78032039	0.000156627	0.13140398
RGCC	Expressed in all		72.17558618	1.148882584	0.306071526	3.753640848	0.000174285	0.140996184
FOSB	Mixed		222.0173378	2.983799	0.80780548	3.693709778	0.000221006	0.161491243
SORT1	Expressed in all		481.442561	-1.228071672	0.33426344	-3.673963487	0.000238817	0.169052495
ITGBL1	Tissue enhanced	gallbladder: 59.8	94.35218767	1.45903248	0.399323172	3.65376362	0.000258424	0.174520181
CXCL8	Tissue enriched	bone marrow: 2076.0	187.5296845	1.940992515	0.531737291	3.650284733	0.00026195	0.174520181
TMEM145	Tissue enriched	cerebral cortex: 38.3	1.652237104	-4.028406469	1.114565489	-3.614329088	0.000301126	0.18947541
MYC	Expressed in all		256.6136041	1.434033648	0.398042503	3.602714877	0.000314911	0.190579793
ANKRD1	Tissue enriched	heart muscle: 3714.2	9.77267917	2.215424989	0.615603726	3.598784244	0.000319708	0.190579793
PTGFR	Tissue enhanced	endometrium: 30.5;smooth muscle: 25.7	62.82849622	0.880440269	0.246254561	3.575325734	0.000349792	0.195349901
TNFRSF12A	Expressed in all		135.747028	1.5534862	0.434845034	3.572505329	0.000353582	0.195349901
FSTL3	Expressed in all		128.8165086	0.852664645	0.240100913	3.55127614	0.000383368	0.196906848
CPXM1	Tissue enhanced	endometrium: 130.4;gallbladder: 132.2	8.435336969	2.594084019	0.73267556	3.540563054	0.000399274	0.196906848
CLC	Tissue enriched	bone marrow: 285.9	6.425384071	1.93128915	0.545562217	3.539997987	0.00040013	0.196906848
FAP	Tissue enhanced	endometrium: 50.7	30.86841395	2.01158512	0.569670111	3.531140358	0.000413772	0.196906848
GXYLT2	Mixed		15.98059624	1.19958421	0.339928942	3.528926377	0.000417249	0.196906848
COL4A3	Tissue enhanced	thyroid gland: 26.8	24.8828678	2.22384898	0.633838615	3.508541334	0.000450571	0.206249686
NR4A1	Expressed in all		263.4554786	1.926915698	0.549638346	3.505788325	0.000455257	0.206249686
ATF3	Expressed in all		233.0629874	1.324431981	0.378602573	3.498211783	0.000468389	0.208038205
