Gene	RNA Tissue Category	RNA TS TPM	BaseMean	log2FoldChange	lfcSE	stat	P_value	P value adjusted
TSPAN6	Mixed		1817.504753	0.231086785	0.112690413	2.05063393	0.04030261	0.117106672
TNMD	Tissue enhanced	adipose tissue: 10.1;seminal vesicle: 33.2	3.574444369	0.613716543	0.641202956	0.957133053	0.338500102	0.533511653
DPM1	Expressed in all		486.4651843	-0.028045917	0.079141266	-0.354377923	0.723055677	0.843559309
SCYL3	Expressed in all		197.9619146	-0.078322894	0.109193451	-0.717285633	0.47319787	0.660912719
C1orf112	Tissue enhanced	parathyroid gland: 25.0	89.02788681	-0.19365145	0.172268264	-1.124127247	0.260959048	0.449853446
FGR	Tissue enhanced	appendix: 85.6;bone marrow: 137.0;spleen: 90.6	64.01185473	-0.220914863	0.260517715	-0.847984033	0.396446863	0.590790446
CFH	Tissue enhanced	liver: 839.5	34539.8044	-0.03090312	0.127666128	-0.242062015	0.808732111	0.897817433
FUCA2	Expressed in all		801.1598803	-0.41407635	0.090980496	-4.551265018	5.33E-06	6.35E-05
GCLC	Expressed in all		2626.043981	0.444718799	0.098465984	4.51647138	6.29E-06	7.33E-05
NFYA	Expressed in all		240.1629686	-0.059396334	0.090996223	-0.65273406	0.513927741	0.693812205
STPG1	Tissue enhanced	testis: 46.9	33.52524015	-0.708836151	0.295497708	-2.398787309	0.016449466	0.05768088
NIPAL3	Expressed in all		183.1895023	-0.399155864	0.084331517	-4.733175408	2.21E-06	2.96E-05
LAS1L	Expressed in all		280.499227	0.06127411	0.100486006	0.609777548	0.542009176	0.715836216
ENPP4	Expressed in all		230.4197867	-0.076057087	0.24540675	-0.309922556	0.756619849	0.865398728
SEMA3F	Expressed in all		125.81682	-0.056518231	0.132007861	-0.42814292	0.66854707	0.8083026
CFTR	Tissue enhanced	gallbladder: 89.3	191.3197246	-4.110606969	0.610940078	-6.728330838	1.72E-11	7.49E-10
ANKIB1	Expressed in all		462.2200456	-0.15779275	0.097966019	-1.610688593	0.107247613	0.242260875
CYP51A1	Expressed in all		1269.837032	1.094661846	0.292797366	3.738632828	0.000185024	0.001368329
KRIT1	Expressed in all		405.3237034	0.088003703	0.097836603	0.899496722	0.368388141	0.563297827
RAD52	Expressed in all		84.5428174	0.042526609	0.118450806	0.359023381	0.719577598	0.841216567
BAD	Expressed in all		327.7438809	0.315448456	0.165377361	1.907446432	0.056462802	0.151637557
LAP3	Expressed in all		2876.596008	0.270386114	0.138723028	1.949107645	0.051282571	0.140747193
CD99	Expressed in all		1828.017562	-0.071753677	0.09158373	-0.783476241	0.4333475	0.624519153
HS3ST1	Tissue enhanced	gallbladder: 13.9;ovary: 23.2	34.20273188	-1.768626267	0.216493192	-8.169431329	3.10E-16	3.25E-14
AOC1	Tissue enhanced	placenta: 716.9;small intestine: 247.6	89.56356944	1.003838393	0.623579664	1.609799758	0.107441578	0.242544954
WNT16	Group enriched	"cervix, uterine: 8.6;skin: 24.3"	0.465503414	-0.525257425	0.961765945	-0.546138515	0.584970727	NA
HECW1	Tissue enhanced	cerebral cortex: 10.9;kidney: 8.2	2.917086232	-1.943287079	0.399460718	-4.864776416	1.15E-06	1.64E-05
MAD1L1	Expressed in all		113.6878055	0.043125382	0.182428976	0.236395463	0.813125816	0.90004843
LASP1	Expressed in all		2228.083517	-0.416399804	0.081134974	-5.132186293	2.86E-07	4.84E-06
SNX11	Expressed in all		184.7666647	0.026732999	0.067329779	0.397045691	0.691333768	0.823414903
TMEM176A	Expressed in all		10489.15774	0.438772672	0.141402733	3.10299993	0.001915697	0.00989366
M6PR	Expressed in all		1168.888304	-0.074410661	0.097747462	-0.761254152	0.446505279	0.636516774
KLHL13	Tissue enhanced	endometrium: 52.6	59.73188448	9.64E-05	0.371977915	0.000259192	0.999793195	0.9999137
CYP26B1	Tissue enhanced	testis: 27.1	30.4477171	-0.011908598	0.268707666	-0.044318042	0.964650891	0.983174526
ICA1	Mixed		157.1415471	-0.112022726	0.263868353	-0.424540211	0.671171886	0.809921871
DBNDD1	Tissue enhanced	cerebral cortex: 24.0	55.03733555	-1.866725574	0.204681115	-9.120165156	7.50E-20	1.41E-17
ALS2	Expressed in all		626.3927982	0.187143031	0.102972422	1.817409251	0.069154472	0.176072648
CASP10	Mixed		232.73229	-0.230846012	0.099827456	-2.312450124	0.020752891	0.06968206
