Gene	RNA Tissue Category	RNA TS TPM	BaseMean	log2FoldChange	lfcSE	stat	P value	P value adjusted
FUCA2	Expressed in all		801.1598803	-0.41407635	0.090980496	-4.551265018	5.33E-06	6.35E-05
GCLC	Expressed in all		2626.043981	0.444718799	0.098465984	4.51647138	6.29E-06	7.33E-05
NIPAL3	Expressed in all		183.1895023	-0.399155864	0.084331517	-4.733175408	2.21E-06	2.96E-05
CFTR	Tissue enhanced	gallbladder: 89.3	191.3197246	-4.110606969	0.610940078	-6.728330838	1.72E-11	7.49E-10
CYP51A1	Expressed in all		1269.837032	1.094661846	0.292797366	3.738632828	0.000185024	0.001368329
HS3ST1	Tissue enhanced	gallbladder: 13.9;ovary: 23.2	34.20273188	-1.768626267	0.216493192	-8.169431329	3.10E-16	3.25E-14
HECW1	Tissue enhanced	cerebral cortex: 10.9;kidney: 8.2	2.917086232	-1.943287079	0.399460718	-4.864776416	1.15E-06	1.64E-05
LASP1	Expressed in all		2228.083517	-0.416399804	0.081134974	-5.132186293	2.86E-07	4.84E-06
TMEM176A	Expressed in all		10489.15774	0.438772672	0.141402733	3.10299993	0.001915697	0.00989366
DBNDD1	Tissue enhanced	cerebral cortex: 24.0	55.03733555	-1.866725574	0.204681115	-9.120165156	7.50E-20	1.41E-17
NDUFAF7	Tissue enriched	testis: 69.1	182.2015315	0.29805896	0.093126085	3.200595846	0.001371437	0.007462119
SLC7A2	Tissue enhanced	parathyroid gland: 380.7	10716.60057	-0.581242405	0.151260424	-3.84266015	0.000121708	0.000965172
POLDIP2	Expressed in all		926.3125961	0.410007346	0.159174272	2.575839307	0.009999711	0.038646607
AK2	Expressed in all		1837.239115	0.225308953	0.057397425	3.925419194	8.66E-05	0.000721771
FKBP4	Expressed in all		1134.229437	0.621172048	0.125254204	4.959291003	7.08E-07	1.07E-05
HSPB6	Tissue enhanced	skeletal muscle: 843.0	152.3542354	-2.258456898	0.473481732	-4.769892365	1.84E-06	2.52E-05
SLC25A13	Expressed in all		2744.807067	0.517023165	0.103822253	4.979887748	6.36E-07	9.78E-06
ST7	Expressed in all		580.0587106	0.265102516	0.082051779	3.230917324	0.001233936	0.006821314
HCCS	Expressed in all		258.4349727	-0.473965605	0.095471183	-4.96448864	6.89E-07	1.05E-05
PRSS22	Tissue enhanced	esophagus: 7.7;stomach: 11.1	7.711899364	-2.046848932	0.409117177	-5.003087248	5.64E-07	8.79E-06
MCUB	Mixed		60.46363214	-1.040278627	0.182890811	-5.687976441	1.29E-08	3.01E-07
POLR2J	Expressed in all		420.3201977	0.400254764	0.117353541	3.410674795	0.000648023	0.003979093
MEOX1	Tissue enhanced	adipose tissue: 25.3	3.934390173	-1.593624058	0.490889874	-3.246398313	0.001168752	0.006514497
ACSM3	Tissue enhanced	liver: 93.2	1915.580549	0.866022739	0.169619303	5.105685046	3.30E-07	5.47E-06
PON1	Tissue enriched	liver: 233.6	10810.4251	0.612319514	0.162970083	3.757251047	0.00017179	0.001286514
GCFC2	Expressed in all		470.4356239	0.312503147	0.094126795	3.320023249	0.0009001	0.005247348
