TranscriptID	T020	25	28	T077	T084	T115	T123	21	19	20	22	23	24	26	27	29	11	15	13	14	12	16	17	18	T015	T051	T031	T047	T054	T096	T135	T122	T143	T138	T144	T020	T123	23	24	19	T004	T013	T028	T094	T095	T104	X042	P130	30	X149	P030	P031	P110	P059	P015	P122	T011	T009	T032	T050	T081	T075	T091	T103	P075	T111	T042	T061	T001	T045	T112	T113	T005	T136	T023	P011	T006	T150	T022	T107	P003	1	2	3	4	5	6	7	8	9	10	P130	T002	T012	T016	T017	T070	T076	T128	T132	T134	T149	P031	P110	P059	P015	P122	T011	T009	T032	T050	T081	T075	T091	T103	P075	T111	T045	T112	T113	T005	T136	T023	P011	T006	T150	T022	T107	P003
ENST00000456328	0.3132	0	0	0	0	0	0	0	0	0	0	1.0068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1585	0	0	0	0	0	0	0	0	0	0
ENST00000515242	0.5079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3123	0	1.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.257	0	0	0	0	0	0	0	0	0	0
ENST00000518655	0.0058	0	0	0	0	0	0	0	0	0	0	0	2.6577	0	0	0	0	0	1.1165	6.1597	0	1.968	0	0.495	0.0096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3244	0	0.0068	0	0	0	0	0	0	0	0	3.999	0	0	2.6489	0	1.3244	0	0	0	0	0	0	0	0	0	0	0	3.6596	0	0	0	0	0	0	0	0	0	4.0061	0	0	0	0	0	0	0	0	0	0	0	4.0083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9784	0	0	0	0	0	0	0	0
ENST00000450305	0	0	2.9512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000438504	0.1381	1.00E-04	0.0073	0.2968	0.1627	107.698	3.796	0.1443	47.5349	0	16.4696	24.9874	2.9335	34.3704	61.9019	0.0739	0.2466	0.0033	0.2031	39.2891	3.5712	13.0745	49.9397	32.0613	1.00E-04	0.0171	36.3724	0.0865	0.0019	3.9696	10.5447	1.00E-04	37.8077	15.4663	5.00E-04	22.1333	37.4057	112.2855	1.0054	24.2184	0.0139	0.2809	0	0.0728	2.8651	10.1162	0	30.1823	9.6602	3.6699	0	0.1524	0	0.1114	8.8025	0	0	0.5928	0.0128	0	1.2815	0	0.0315	0.4263	0	8.00E-04	0	0.0068	4.9623	0.8605	0	0	0.2035	2.00E-04	0.0022	3.4895	1.00E-04	0.0161	1.00E-04	4.1179	5.712	1.00E-04	0.4423	0.6006	1.00E-04	0.284	0.0526	2.0477	23.055	0.1685	2.4704	2.2565	38.8024	0	0	0.002	11.0074	0.3359	107.6856	21.0786	0.042	4.00E-04	0	0	0	1.5272	0	9.0277	7.7016	0.0012	1.00E-04	4.0946	0	9.9322	13.3457	0.0077	0.0097	0	2.1908	0.6393	0	18.5314	3.3288	0	0	0	0	1.5664	1.8724
ENST00000541675	36.2513	66.5433	79.8942	0.1249	51.0956	31.276	56.8687	33.4646	29.8262	0.36	35.7561	35.6466	81.2375	26.1552	50.4914	130.3709	150.5204	135.6107	46.3577	49.8722	22.0722	16.6855	1.1017	35.041	52.8008	32.8493	0.1524	43.7852	148.1597	70.3829	16.685	59.6944	12.0664	94.8735	25.8153	15.5936	1.9136	21.3641	62.5615	35.7641	47.5904	24.9761	8.289	12.1115	27.0981	51.1424	0	3.6306	30.4615	154.0514	0	10.0889	60.4758	123.5109	52.0953	0.0089	0.2446	63.0203	50.8777	29.9643	0.0087	53.7057	72.9416	17.0413	21.8244	40.9747	58.0468	39.8829	6.1964	117.1743	10.6708	0	105.0894	82.0252	35.6317	33.3988	64.3889	20.1463	35.6892	71.9851	53.1767	11.5718	70.2896	85.9823	132.0632	100.0605	102.9836	64.8998	54.6579	131.0907	113.5297	2.4642	243.0274	211.0969	5.6373	110.1146	19.7457	233.0158	22.587	178.062	252.1055	81.9792	0	0.0285	66.4286	21.0449	3.2047	31.8206	34.7627	34.0171	6.5594	15.8364	15.883	63.0028	16.9807	20.8092	52.202	19.7579	7.397	8.4689	0.0023	6.1606	7.2131	0	29.985	0	3.8534	7.0881	1.0034
ENST00000423562	0.0164	32.0928	6.5561	94.7521	0.5846	15.8948	19.3086	61.7092	24.6569	41.4939	0	2.7115	13.4291	8.1946	16.0385	1.2761	7.7335	0.4548	22.0115	16.3077	5.9441	114.6993	0.4373	0.0034	0.9234	9.3404	4.6666	0.6879	2.8396	44.9619	20.7267	11.9156	0	6.0079	5.4877	36.275	172.2881	0.4636	0.9641	38.134	11.8049	24.8708	72.1941	37.3192	20.9371	5.1339	0	0.3578	0.0524	3.6795	0	58.1789	0.1837	1.6446	14.2101	6.8322	82.805	13.6529	20.0383	29.4242	93.3178	49.394	2.6179	60.3907	0.058	0.0021	0.3183	39.0831	0	51.777	6.4246	30.0021	49.1516	5.4236	1.0265	30.2062	2.00E-04	13.0498	2.1452	43.7925	21.0901	7.3321	3.2198	5.00E-04	48.7301	0.5766	0.0308	13.1711	0.0071	53.8511	14.718	18.0471	11.4394	0.0897	8.7189	0.9088	0	1.00E-04	87.5107	32.2406	0.0126	0	0	11.6592	19.9017	5.1115	0	11.4008	1.00E-04	0.0025	9.316	44.4445	41.7573	8.8714	0.3298	1.00E-04	0.0015	0.0089	5.9962	9.8146	9.5022	1.7768	0.0219	18.8325	0.0037	0	0	0	29.138
ENST00000488147	0	0	0	0	0	0	0	0	0	0	6.2221	0	0	0	0	0	0	0	1.6978	0	0	0	0	0	0	0	5.2462	0	0	0	0	7.1848	0	0	0	0	3.5012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.783	0	0	0	0	0	0	0	0	0	0
ENST00000538476	0	0	0	0	0	0	0	0	0	0.0014	5.4974	0	0	0	0	0	0	0	0	0	0	4.304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.8666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000537342	13.612	0	3.815	0	0.4444	0	0.0157	0	0	0	1.00E-04	0.0057	0	0	0.9608	0	21.4961	4.1575	6.00E-04	0	0	5.2827	0	6.6419	0.0058	1.00E-04	0	4.0723	15.1012	4.3461	11.7483	5.6196	0	12.9447	0	0	29.3077	1.6926	0	0	0	0	0	0	5.0373	0	0	0	0.1079	0	0	0	17.5417	0	1.3751	0	0.0457	2.6204	0	1.00E-04	21.5489	5.8217	0	5.00E-04	0	18.1617	7.157	5.5235	0	0	9.793	0	0	0.6633	0.0026	0	0	5.2821	0	2.5271	0	0.5496	5.3047	0	0	21.7835	0	1.9031	0	3.00E-04	0.0079	0	0	0	0	0	0	0.0012	0	0	0	3.8145	0	0	4.5969	0	0	0	0	0	1.00E-04	0	8.7824	0	0	0.8576	0	0	0	2.2168	0	0	0	0	0	0	0	0	0
