Gene	RNA Tissue Category	RNA TS TPM	BaseMean	log2FoldChange	lfcSE	stat	P_value	P value adjusted
TSPAN6	Mixed		1817.504753	0.232411585	0.118560852	1.960272562	0.049963941	0.65897196
TNMD	Tissue enhanced	adipose tissue: 10.1;seminal vesicle: 33.2	3.574444369	0.098235933	0.672774851	0.146016059	0.883908711	0.990384986
DPM1	Expressed in all		486.4651843	0.116754022	0.08385157	1.392389217	0.163804568	0.788707011
SCYL3	Expressed in all		197.9619146	-0.055693904	0.116327625	-0.478767659	0.632103927	0.957161314
C1orf112	Tissue enhanced	parathyroid gland: 25.0	89.02788681	-0.007924885	0.1834449	-0.043200356	0.965541821	0.996686115
FGR	Tissue enhanced	appendix: 85.6;bone marrow: 137.0;spleen: 90.6	64.01185473	-0.065866206	0.276460963	-0.238247761	0.811688935	0.977674842
CFH	Tissue enhanced	liver: 839.5	34539.8044	0.034497739	0.134262131	0.256943181	0.797222636	0.976552469
FUCA2	Expressed in all		801.1598803	-0.026825214	0.096306139	-0.278541054	0.780597055	0.974804196
GCLC	Expressed in all		2626.043981	0.028647827	0.103594324	0.276538581	0.782134431	0.974871006
NFYA	Expressed in all		240.1629686	0.123436925	0.096753639	1.275785859	0.202031228	0.810084733
STPG1	Tissue enhanced	testis: 46.9	33.52524015	-0.135906943	0.317481552	-0.428078236	0.668594161	0.964267854
NIPAL3	Expressed in all		183.1895023	-0.102289394	0.091430037	-1.118772316	0.263237285	0.844479143
LAS1L	Expressed in all		280.499227	-0.156973814	0.106834017	-1.469324276	0.141744855	0.778389624
ENPP4	Expressed in all		230.4197867	0.163431746	0.258521684	0.632178095	0.527270509	0.933505256
SEMA3F	Expressed in all		125.81682	0.03990105	0.140497127	0.283999045	0.776411112	0.974536579
CFTR	Tissue enhanced	gallbladder: 89.3	191.3197246	0.042663182	0.645801078	0.066062419	0.94732813	0.994644585
ANKIB1	Expressed in all		462.2200456	-0.00175434	0.10380643	-0.016900111	0.986516304	0.999045632
CYP51A1	Expressed in all		1269.837032	-0.641940754	0.307957774	-2.084509009	0.037113892	0.626269674
KRIT1	Expressed in all		405.3237034	0.051387199	0.103466375	0.496656027	0.619431636	0.956478863
RAD52	Expressed in all		84.5428174	0.169944027	0.126085398	1.347848605	0.177707081	0.792578272
BAD	Expressed in all		327.7438809	0.086464639	0.174176952	0.496418373	0.619599265	0.956478863
LAP3	Expressed in all		2876.596008	-0.02314259	0.145938791	-0.158577369	0.87400186	0.989150646
CD99	Expressed in all		1828.017562	-0.025861669	0.096524375	-0.267928892	0.788754054	0.975776136
HS3ST1	Tissue enhanced	gallbladder: 13.9;ovary: 23.2	34.20273188	0.339172026	0.236885845	1.431795242	0.152202429	0.781836033
AOC1	Tissue enhanced	placenta: 716.9;small intestine: 247.6	89.56356944	0.326220512	0.655206257	0.497889799	0.618561718	0.956478863
WNT16	Group enriched	"cervix, uterine: 8.6;skin: 24.3"	0.465503414	0.742454598	1.015133266	0.731386335	0.46454321	NA
HECW1	Tissue enhanced	cerebral cortex: 10.9;kidney: 8.2	2.917086232	0.373700568	0.469057913	0.796704539	0.425622647	0.909282235
MAD1L1	Expressed in all		113.6878055	-0.131350145	0.193468552	-0.678922458	0.497186995	0.925151801
LASP1	Expressed in all		2228.083517	-0.168441317	0.085633276	-1.967007745	0.049182318	0.657715919
SNX11	Expressed in all		184.7666647	-0.107409754	0.072813024	-1.475144794	0.14017362	0.776255662
TMEM176A	Expressed in all		10489.15774	0.042434665	0.148708366	0.285354925	0.775372237	0.974536579
M6PR	Expressed in all		1168.888304	0.024615661	0.103080322	0.238800782	0.811260064	0.977537362
KLHL13	Tissue enhanced	endometrium: 52.6	59.73188448	0.410166941	0.391708168	1.047123789	0.295042489	0.861379637
CYP26B1	Tissue enhanced	testis: 27.1	30.4477171	-0.15419333	0.286623529	-0.537964661	0.590601446	0.948661551
ICA1	Mixed		157.1415471	-0.349176261	0.278816614	-1.252350983	0.210441999	0.817275213
DBNDD1	Tissue enhanced	cerebral cortex: 24.0	55.03733555	0.696417909	0.220395011	3.159862399	0.001578437	0.326455671
ALS2	Expressed in all		626.3927982	-0.067855626	0.108688958	-0.624310211	0.532423879	0.935039208
CASP10	Mixed		232.73229	0.099368965	0.106308177	0.934725507	0.349929778	0.884719736
CFLAR	Expressed in all		651.2058808	0.051205588	0.084869676	0.603343734	0.546280044	0.938463233
TFPI	Expressed in all		6281.895621	-0.069225412	0.1201021	-0.576388024	0.564352937	0.941916744
NDUFAF7	Tissue enriched	testis: 69.1	182.2015315	-0.011214289	0.098804078	-0.113500263	0.909633954	0.992479728
RBM5	Expressed in all		351.1556733	0.161157202	0.151830728	1.061426787	0.288495989	0.857675263
MTMR7	Tissue enhanced	cerebral cortex: 22.9;parathyroid gland: 15.2	25.57450097	0.367887643	0.176760721	2.081274853	0.037408755	0.626269674
SLC7A2	Tissue enhanced	parathyroid gland: 380.7	10716.60057	-0.078535955	0.159102853	-0.493617513	0.62157633	0.956929699
ARF5	Expressed in all		812.450972	-0.037710405	0.126812669	-0.297370962	0.766183311	0.973670641
SARM1	Mixed		3.017473547	-0.315289685	0.773272242	-0.407734389	0.683468687	0.967541107
POLDIP2	Expressed in all		926.3125961	0.371197226	0.167366996	2.217863942	0.026564111	0.601697478
PLXND1	Expressed in all		784.5044624	-0.037222396	0.149061919	-0.249710967	0.802810877	0.977213931
AK2	Expressed in all		1837.239115	-0.04821386	0.060584209	-0.795815624	0.426139209	0.90954895
CD38	Mixed		57.40782179	-0.421029517	0.288709116	-1.458317362	0.144753087	0.779306553
FKBP4	Expressed in all		1134.229437	-0.031961582	0.131766082	-0.242563044	0.808343913	0.977320647
KDM1A	Expressed in all		328.3902665	-0.089797096	0.094436844	-0.9508693	0.341670728	0.879802836
RBM6	Expressed in all		553.5590478	0.041386486	0.170963505	0.242077901	0.808719802	0.977320647
CAMKK1	Tissue enhanced	cerebral cortex: 51.5	22.00198446	-0.000733985	0.240452266	-0.003052519	0.997564446	0.999432613
RECQL	Expressed in all		401.5567362	-0.058684863	0.136037445	-0.431387575	0.666186583	0.964103617
VPS50	Expressed in all		168.8683226	0.122518007	0.159913664	0.766150957	0.443586486	0.913572956
HSPB6	Tissue enhanced	skeletal muscle: 843.0	152.3542354	-0.150047249	0.499935623	-0.300133142	0.7640756	0.973670641
ARHGAP33	Mixed		32.12321392	0.371915964	0.252356607	1.473771453	0.140543137	0.776747602
NDUFAB1	Expressed in all		1152.189191	0.147065702	0.117860311	1.247796659	0.212105533	0.818289257
PDK4	Expressed in all		2609.230755	0.146480881	0.288468198	0.507788665	0.61160156	0.955926458
SLC22A16	Group enriched	bone marrow: 12.9;parathyroid gland: 16.3;testis: 38.6	0.713734467	-0.51576522	1.046334804	-0.492925608	0.622065152	NA
ZMYND10	Group enriched	fallopian tube: 231.5;testis: 284.6	5.25418625	0.004953835	0.344143589	0.014394675	0.988515108	0.999212021
ABCB5	Tissue enriched	epididymis: 32.3	0.846496447	-0.185699806	0.824693496	-0.225174331	0.821843658	NA
ARX	Tissue enriched	ovary: 97.7	2.944583074	1.684444824	0.695930467	2.420421154	0.015502541	0.549285348
SLC25A13	Expressed in all		2744.807067	-0.060232187	0.109227401	-0.551438439	0.581333157	0.945384933
ST7	Expressed in all		580.0587106	-0.039340417	0.086715182	-0.453673923	0.650063539	0.961689548
CDC27	Expressed in all		687.2705173	0.037594621	0.095812677	0.392376277	0.694780212	0.967669272
SLC4A1	Tissue enriched	bone marrow: 238.0	23.98945536	-0.110920504	0.453132775	-0.244785878	0.806622229	0.977320647
CALCR	Tissue enhanced	kidney: 2.1;testis: 1.4	1.73705225	-0.327648954	0.502149191	-0.652493242	0.514083031	0.931010131
HCCS	Expressed in all		258.4349727	0.112600712	0.101964468	1.104313249	0.269457277	0.846639484
DVL2	Expressed in all		141.8002666	-0.177602935	0.111691209	-1.590124566	0.11180673	0.754812037
PRSS22	Tissue enhanced	esophagus: 7.7;stomach: 11.1	7.711899364	-0.140395388	0.464931955	-0.301969754	0.76267512	0.973389633
UPF1	Expressed in all		1007.232793	-0.160766593	0.093074253	-1.727293937	0.084114888	0.718944181
SKAP2	Expressed in all		444.4359051	0.192745284	0.138304654	1.393628325	0.16342987	0.788707011
SLC25A5	Expressed in all		2991.614508	-0.063409164	0.101676955	-0.623633589	0.532868246	0.935138304
MCUB	Mixed		60.46363214	0.188014053	0.197264451	0.953106615	0.340536055	0.879802836
HOXA11	Tissue enhanced	endometrium: 96.3;smooth muscle: 68.5	0	NA	NA	NA	NA	NA
POLR2J	Expressed in all		420.3201977	0.159192855	0.123538717	1.288607004	0.197534747	0.806892936
DHX33	Expressed in all		370.7660032	-0.084465279	0.114457084	-0.737964625	0.460535946	0.918156866
MEOX1	Tissue enhanced	adipose tissue: 25.3	3.934390173	-0.48088557	0.573441014	-0.8385964	0.401695832	0.902517195
THSD7A	Mixed		4.168306287	-1.24216246	0.768209584	-1.616957775	0.105887396	0.745688642
LIG3	Expressed in all		154.4158672	-0.165581916	0.103856248	-1.594337551	0.110860451	0.753258886
RPAP3	Expressed in all		226.9411933	-0.133521185	0.124137161	-1.075593997	0.282108874	0.854833985
ACSM3	Tissue enhanced	liver: 93.2	1915.580549	0.223089682	0.178314669	1.251101123	0.210897586	0.817275213
AC004381.6	Tissue enriched	testis: 618.5	19.90442817	-0.050493443	0.298661126	-0.169066003	0.865744725	0.986790416
CIAPIN1	Expressed in all		237.6501955	-0.042601359	0.111704579	-0.381375228	0.70292484	0.968005945
